social,dataset,varname,varcode,vartype,range_min,range_max,file,dir,unit,description,duplicate category,multiplier
gender,QoG,Women’s Social Rights,ciri_wosoc,ordinal,0,3,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Women’s Social Rights (1981-2011). Women’s social rights include a number of internationally recognized rights. These rights include: The right to equal inheritance, The right to enter into marriage on a basis of equality with men, The right to travel abroad, The right to obtain a passport, The right to confer citizenship to children or a husband, The right to initiate a divorce, The right to own, acquire, manage, and retain property brought into marriage, The right to participate in social, cultural, and community activities, The right to an education, The freedom to choose a residence/domicile, Freedom from female genital mutilation of children and of adults without their consent, Freedom from forced sterilization. A score of 0 indicates that there were no social rights for women in law and that systematic discrimination based on sex may have been built into law. A score of 1 indicates that women had some social rights under law, but these rights were not e_ectively enforced. A score of 2 indicates that women had some social rights under law, and the government e_ectively enforced these rights in practice while still allowing a low level of discrimination against women in social matters. Finally, a score of 3 indicates that all or nearly all of women’s social rights were guaranteed by law and the government fully and vigorously enforced these laws in practice. Note: This Variable was retired as of 2005.",,1
governance,QoG,Control of Corruption - Estimate,wbgi_cce,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Control of Corruption - Estimate (N=193, 1996-2012, mean=0, sd=1). Control of Corruption - Estimate: “Control of Corruption” measures perceptions of corruption, conventionally de ned as the exercise of public power for private gain. The particular aspect of corruption measured by the various sources diers somewhat, ranging from the frequency of “additional payments to get things done”, to the eects of corruption on the business environment, to measurin “grand corruption” in the political arena or in the tendency of elite forms to engage in “state capture”.",,1
governance,QoG,Government Effectiveness,wbgi_gee,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Government Eectiveness - Estimate (N=193, 1996-2012, mean=0, sd=1). Government Eectiveness - Estimate: “Government Eectiveness” combines into a single grouping responses on the quality of public service provision, the quality of the bureaucracy, the competence of civil servants, the independence of the civil service from political pressures, and the credibility of the government’s commitment to policies. The main focus of this index is on “inputs” required for the government to be able to produce and implement good policies and deliver public goods.",,1
governance,QoG,Political Stability - Estimate,wbgi_pse,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Stability - Estimate (N=195, 1996-2012, mean=0, sd=1). Political Stability - Estimate: “Political Stability” combines several indicators which measure perceptions of the likelihood that the government in power will be destabilized or overthrown by possibly unconstitutional and/or violent means, including domestic violence and terrorism.",,1
governance,QoG,Rule of Law - Estimate,wbgi_rle,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Rule of Law - Estimate (N=195, 1996-2012, mean=0, sd=1). Rule of Law - Estimate: “Rule of Law” includes several indicators which measure the extent to which agents have con dence in and abide by the rules of society. These include perceptions of the incidence of crime, the eectiveness and predictability of the judiciary, and the enforceability of contracts. Together, these indicators measure the success of a society in developing an environment in which fair and predictable rules form the basis for economic and social interactions and the extent to which property rights are protected.",,1
governance,QoG,Contestation (standardized version),cam_contest,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"“Contestation and Inclusiveness, (1950-2000) These are the two principal components of 13-15 indicators of democracy, including those compiled by Freedom House; Polity; Arthur Banks; Alvarez, Cheibub, Limongi, and Przeworski, as updated by Cheibub and Gandhi; Bollen; and Cingranelli and Richards. The dataset covers most countries in the world from 1950 through 2000. In an article in the Journal of Politics (July 2008), Angel Alvarez, Claudia Maldonado, and I argue that these principal components, which capture 75 percent of variation in the most commonly used democracy indicators, measure Robert Dahl’s two dimensions of polyarchy: contestation and inclusiveness. We recommend that scholars use the standardized versions of these components (CONTESTstd and INCLUSstd), which have been adjusted to be comparable from year to year.”",,1
governance,QoG,Inclusiveness (standardized version),cam_inclusive,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"“Contestation and Inclusiveness, (1950-2000) These are the two principal components of 13-15 indicators of democracy, including those compiled by Freedom House; Polity; Arthur Banks; Alvarez, Cheibub, Limongi, and Przeworski, as updated by Cheibub and Gandhi; Bollen; and Cingranelli and Richards. The dataset covers most countries in the world from 1950 through 2000. In an article in the Journal of Politics (July 2008), Angel Alvarez, Claudia Maldonado, and I argue that these principal components, which capture 75 percent of variation in the most commonly used democracy indicators, measure Robert Dahl’s two dimensions of polyarchy: contestation and inclusiveness. We recommend that scholars use the standardized versions of these components (CONTESTstd and INCLUSstd), which have been adjusted to be comparable from year to year.”",,1
governance,QoG,Independence of the Judiciary,ciri_injud,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Independence of the Judiciary This variable indicates the extent to which the judiciary is independent of control from other sources, such as another branch of the government or the military. A score of 0 indicates “not independent”“, a score of 1 indicates”partially independent“” and a score of 2 indicates “generally independent”.",,1
governance,QoG,Freedom House/Imputed Polity,fh_ipolity2,con,0,10,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom House/Imputed Polity (N=207, 1972-2012, [0:10]). Scale ranges from 0-10 where 0 is least democratic and 10 most democratic. Average of Freedom House (fh_pr and fh_cl) is transformed to a scale 0-10 and Polity (p_polity2) is transformed to a scale 0-10. These variables are averaged into fh_polity2. The imputed version has imputed values for countries where data on Polity is missing by regressing Polity on the average Freedom House measure. Hadenius & Teorell (2005) show that this average index performs better both in terms of validity and reliability than its constituent parts.",,1
governance,QoG,Freedom House/Polity,fh_polity2,con,0,10,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom House/Polity (N=179, 1972-2012, [0:10]). Scale ranges from 0-10 where 0 is least democratic and 10 most democratic. Average of Freedom House (fh_pr and fh_cl) is transformed to a scale 0-10 and Polity (p_polity2) is transformed to a scale 0-10. These variables are averaged into fh_polity2.",,1
governance,QoG,Political Rights,fh_pr,ordinal,7,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Rights (N=207, 1972-2012, [0:7]). Political rights enable people to participate freely in the political process, including the right to vote freely for distinct alternatives in legitimate elections, compete for public o ce, join political parties and organizations, and elect representatives who have a decisive impact on public policies and are accountable to the electorate. The speci c list of rights considered varies over the years. Countries are graded between 1 (most free) and 7 (least free).",,-1
governance,QoG,Status,fh_status,ordinal,7,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Status (N=207, 1972-2012, [0:7]). (1) Free. (2) Partly Free. (3) Not Free. Until 2003, countries whose combined average ratings for Political Rights and Civil Liberties fell between 1.0 and 2.5 were designated “Free”“; between 3.0 and 5.5”Partly Free“”, and between 5.5 and 7.0 “Not Free”. Since then, countries whose ratings average 1.0 to 2.5 are considered “Free”“, 3.0 to 5.0”Partly Free“, and 5.5 to 7.0”Not Free“.",,-1
governance,QoG,Political Constraints Index III,h_polcon3,con,1,0,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Constraints Index III (N=201, 1946-2012, [0:1]). This index measures the feasibility of policy change, i.e. the extent to which a change in the preferences of any one political actor may lead to a change in government policy. The index is composed from the following information: the number of independent branches of government with veto power over policy change, counting the executive and the presence of an eective lower and upper house in the legislature (more branches leading to more constraint); the extent of party alignment across branches of government, measured as the extent to which the same party or coalition of parties control each branch (decreasing the level of constraint); and the extent of preference heterogeneity within each legislative branch, measured as legislative fractionalization in the relevant house (increasing constraint for aligned executives, decreasing it for opposed executives). The index scores are derived from a simple spatial model and theoretically ranges from 0 to 1, with higher scores indicating more political constraint and thus less feasibility of policy change. Note that the coding re ects information as of January 1 in any given year. Henisz (2002) uses this index to demonstrate that political environments that limit the feasibility of policy change are an important determinant of investment in infrastructure.",,-1
governance,QoG,ICRG Indicator of Quality of Government,icrg_qog,con,0,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"ICRG Indicator of Quality of Government (N=147, 1984-2012, [0:1]). The mean value of the ICRG variables “Corruption”“,”Law and Order"" and “Bureaucracy Quality”, scaled 0-1. Higher values indicate higher quality of government.",,1
governance,QoG,Absolute legal institutional quality (simple averages),kun_legabs,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Absolute legal institutional quality (simple averages) (N=195, 1990-2010). Absolute legal institutional quality (simple averages).",,1
governance,QoG,Absolute political institutional quality (simple averages),kun_polabs,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Absolute political institutional quality (simple averages) (N=184, 1990-2010) Absolute political institutional quality (simple averages).",,1
governance,QoG,Unified Demo. Score Posterior (Mean),uds_mean,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Unified Demo. Score Posterior (Mean) (N=210, 1946-2012). Unifi ed Demo. Score Posterior (Mean). Higher score, better democracy.",,1
governance,QoG,Unified Demo. Score Posterior (Median),uds_median,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Unified Demo. Score Posterior (Median) (N=210, 1946-2012). Unifi ed Demo. Score Posterior (Median). Higher score, better democracy.",,1
governance,QoG,Competition,van_comp,con,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Competition (N=200, 1946-2010). The competition variable portrays the electoral success of smaller parties, that is, the percentage of votes gained by the smaller parties in parliamentary and/or presidential elections. The variable is calculated by subtracting from 100 the percentage of votes won by the largest party (the party which wins most votes) in parliamentary elections or by the party of the successful candidate in presidential elections. Depending on their importance, either parliamentary or presidential elections are used in the calculation of the variable, or both elections are used, with weights. If information on the distribution of votes is not available, or if the distribution does not portray the reality accurately, the distribution of parliamentary seats is used instead. If parliament members are elected but political parties are not allowed to take part in elections, it is assumed that one party has taken all votes or seats. In countries where parties are not banned but yet only independent candidates participate in elections, it is assumed that the share of the largest party is not over 30 percent.",,1
governance,QoG,Index of Democratization,van_index,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Index of Democratization (N=200, 1946-2010). The index of democratization is formed by multiplying the competition and the participation variables and then dividing the outcome by 100.",,1
governance,QoG,Participation,van_part,con,0,70,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Participation (N=200, 1946-2010). The political participation variable portrays the voting turnout in each election, and is calculated as the percentage of the total population who actually voted in the election. In the case of indirect elections, only votes cast in the  nal election are taken into account. If electors have not been elected by citizens, only the number of actual electors is taken into account, which means that the degree of participation drops to the value 0. If an election to choose electors has been held, the participation variable is calculated from the number and distribution of votes in that election. National referendums raise the variable value by  ve percent and state (regional) referendums by one percent for the year they are held. Referendums can add the degree of participation at maximum by 30 percent a year. The value of the combined degree of participation cannot be higher than 70 percent, even in cases where the sum of participation and referendums would be higher than 70.",,1
connectivity,QoG,Fixed broadband Internet subscribers (per 100 people),wdi_broadband,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Fixed broadband Internet subscribers (per 100 people) (N=193, 1995-2012). Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.",,1
connectivity,QoG,Internet users (per 100 people),wdi_internetuse,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Internet users (per 100 people) (N=193, 1960-2012). Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",,1
connectivity,QoG,Mobile cellular subscriptions (per 100 people),wdi_mobile,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Mobile cellular subscriptions (per 100 people) (N=198, 1960-2012). Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.",,1
mobility,QoG,Freedom of Domestic Movement,ciri_dommov,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom of Domestic Movement (1981-2011) This variable indicates citizens’ freedom to travel within their own country. A score of 0 indicates that this freedom was severely restricted, a score of 1 indicates the freedom was somewhat restricted, and a score of 2 indicates unrestricted freedom of foreign movement.",,1
transport,,,,,,,,,,,,
crime,,,,,,,,,,,,
local environment,,,,,,,,,,,,
sense of support,,,,,,,,,,,,
economic freedom,QoG,Economic Freedom of the World Index (chain-linked),fi_index_cl,ordinal,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Economic Freedom of the World Index (chain-linked) (N=123, 1970-2010, [0:10]). One problem with the version of the index of economic freedom ( _index) is that the underlying data is more complete in recent years than in earlier years. As a result, changes in the index ratings over time may re ect the fact that some components are missing in some years but not in others.The problem of missing components threatens the comparability of the index ratings over time. In order to correct for this problem, the Fraser Institute has constructed a chain-linked summary index of economic freedom that is based on the 2000 rating as a base year. Changes to the index going backward (and forward) in time are then based only on changes in components that were present in adjacent years. The chain-linked methodology means that a country’s rating will change across time periods only when there is a change in ratings for components present during both of the over-lapping years. This is precisely what one would want when making comparisons across time periods.",,1
economic freedom,QoG,Freedom from Corruption,hf_corrupt,con,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom from Corruption (N=183, 1994-2013, [0:10]). This factor relies on Transparency International’s Corruption Perceptions Index (CPI), which measures the level of corruption in 152 countries, to determine the freedom from corruption scores of countries that are also listed in the Index of Economic Freedom. The CPI is based on a 10-point scale in which a score of 10 indicates very little corruption and a score of 0 indicates a very corrupt government. In scoring freedom from corruption, the authors convert each of these raw CPI data to a 0-100 scale by multiplying the CPI scores by 10.",,1
economic freedom,QoG,Economic Freedom Index,hf_efiscore,con,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Economic Freedom Index (N=183, 1994-2013, [0:10]). The Economic Freedom index uses 10 speci c freedoms, some as composites of even further detailed and quanti able components: Business freedom (hf_business), Trade freedom (hf_trade), Fiscal freedom (hf_ scal), Freedom from government (hf_govt), Monetary freedom (hf_monetary), Investment freedom (hf_invest), Financial freedom (hf_ nanc), Property rights (hf_prights), Freedom from corruption (hf_corrupt), Labor freedom (hf_labor). Each of these freedoms is weighted equally and turned into an index ranging from 0 to 100, where 100 represents the maximum economic freedom. Although changes in methodology have been undertaken throughout the measurement period, continuous backtracking has been used to maximize comparability over time.",,1
economic freedom,QoG,Freedom from Government,hf_govt,con,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom from Government (N=182, 1994-2013, [0:100]). Scoring of the freedom from government factor is based on two components: Government expenditure as a percentage of GDP, Revenues generated by state-owned enterprises (SOEs) and property as a percentage of total government revenue. Government expenditure as a percentage of GDP is weighted as two-thirds of the freedom from government factor score, and revenue from SOEs is weighted as one-third. In cases where SOE data does not exist, the data is excluded from the factor score. The country’s freedom from government ranges between 0 and 100, where 100 represents the maximum degree of freedom from government.",,1
economic freedom,QoG,Property Rights,hf_prights,con,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Property Rights (N=180, 1994-2013, [0:100]). This factor scores the degree to which a country’s laws protect private property rights and the degree to which its government enforces those laws. It also accounts for the possibility that private property will be expropriated. In addition, it analyzes the independence of the judiciary, the existence of corruption within the judiciary, and the ability of individuals and businesses to enforce contracts. The less certain the legal protection of property is and the greater the chances of government expropriation of property are, the higher a country’s score is. The country’s property rights score ranges from 0 and 100, where 100 represents the maximum degree of protection of property rights.",,1
economic freedom,QoG,Trade Freedom,hf_trade,con,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Trade Freedom (N=182, 1994-2013, [0:100]). The trade freedom score is based on two inputs: The trade-weighted average tari rate, Non-tariff barriers (NTBs). Weighted average taris is a purely quantitative measure and accounts for the basic calculation of the score. The presence of NTBs in a country aects its trade freedom score by incurring a penalty of up to 20 percentage points, or one- fth of the maximum score. The country’s trade freedom ranges between 0 and 100, where 100 represents the maximum degree of trade freedom.",,1
peace,QoG,Extrasystemic armed confl ict,ucdp_type1,,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Extrasystemic armed conflict (N=164, 1946-2013). Number of extrasystemic armed con icts per country in a given year. Extrasystemic armed confl ict occurs between a state and a non-state group outside its own territory. (In the COW project,extrasystemic war is subdivided into colonial war and imperial war, but this distinction is not used here.) These con icts are by de nition territorial, since the government side is  ghting to retain control of a territory outside the state system.",,-1
peace,QoG,Interstate armed conflict,ucdp_type2,,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Interstate armed confl ict (N=164, 1946-2013). Number of interstate armed con icts per country in a given year. An interstate armed con ict occurs between two or more states.",,-1
peace,QoG,Internal armed conflict,ucdp_type3,,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Internal armed confl ict (N=164, 1946-2013). Number of internal armed con ics per country in a given year. Internal armed con ict occurs between the government of a state and one or moreinternal opposition group(s) without intervention from other states.",,-1
peace,QoG,Internationalized internal armed conflict,ucdp_type4,,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Internationalized internal armed conflict (N=164, 1946-2013). Number of internationalized internal armed con icts per country in a given year. Internationalized internal armed con ict occurs between the government of a state and one or more internal opposition group(s) with intervention from other states (secondary parties) on one or both sides.",,-1
peace,QoG,Armed forces personnel (% of total labor force),wdi_armedfper,ratio,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Armed forces personnel (% of total labor force) (N=172, 1990-2012). Armed forces personnel are active duty military personnel, including paramilitary forces if the training, organization, equipment, and control suggest they may be used to support or replace regular military forces. Labor force comprises all people who meet the International Labour Organization’s de nition of the economically active population.",,-1
intellectual capital,QoG,Scientific and technical journal articles,wdi_scitecjournal,,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Scientific and technical journal articles (N=191, 1981-2011). Scienti c and technical journal articles refer to the number of scienti c and engineering articles published in the following  fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences.",,1
technology,QoG,Fixed broadband Internet subscribers (per 100 people),wdi_broadband,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Fixed broadband Internet subscribers (per 100 people) (N=193, 1995-2012). Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.",connectivity,1
technology,QoG,Internet users (per 100 people),wdi_internetuse,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Internet users (per 100 people) (N=193, 1960-2012). Internet users are individuals who have used the Internet (from any location) in the last 12 months. Internet can be used via a computer, mobile phone, personal digital assistant, games machine, digital TV etc.",connectivity,1
technology,QoG,Mobile cellular subscriptions (per 100 people),wdi_mobile,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Mobile cellular subscriptions (per 100 people) (N=198, 1960-2012). Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.",connectivity,1
